Period,fin_year,Sell-to Customer Code,ItemNo,Description,Month,MM-YY,Month_Name,Posting Date,Location Name,Item Class,Target Group,Marketing_Terminology,Quantity,AmountLc,ItemTn
1,'15-16,CID1282,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,10/7/2015,Kolhapur,PIPES,TAPI,AP ISI,1010,7.313729,8.14868
1,'15-16,CID0101,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,11/7/2015,Chennai,PIPES,TAPI,AP ISI,100,0.828664,0.8068
1,'15-16,CID0222,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,11/7/2015,Chennai,PIPES,TAPI,AP ISI,50,0.409982,0.4034
1,'15-16,CID0683,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,11/7/2015,Kolhapur,PIPES,TAPI,AP ISI,100,0.724131,0.8068
1,'15-16,CID0437,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,11/7/2015,Chennai,PIPES,TAPI,AP ISI,50,0.37627,0.4034
1,'15-16,CID1284,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,11/7/2015,Chennai,PIPES,TAPI,AP ISI,25,0.188135,0.2017
1,'15-16,CID1129,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,13-07-2015,Kolhapur,PIPES,TAPI,AP ISI,50,0.362065,0.4034
1,'15-16,CID1337,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,13-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.75254,0.8068
1,'15-16,CID0868,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,14-07-2015,Chennai,PIPES,TAPI,AP ISI,163,1.336542,1.315084
1,'15-16,CID1388,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,14-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.75254,0.8068
1,'15-16,CID0437,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,15-07-2015,Chennai,PIPES,TAPI,AP ISI,50,0.37627,0.4034
1,'15-16,CID0038,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,15-07-2015,Chennai,PIPES,TAPI,AP ISI,50,0.374979,0.4034
1,'15-16,CID0462,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,15-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.75254,0.8068
1,'15-16,CID0562,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,15-07-2015,Chennai,PIPES,TAPI,AP ISI,200,1.60513,1.6136
1,'15-16,CID0856,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,15-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.756393,0.8068
1,'15-16,CID0222,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,16-07-2015,Chennai,PIPES,TAPI,AP ISI,125,1.024956,1.0085
1,'15-16,CID0690,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,16-07-2015,Chennai,PIPES,TAPI,AP ISI,200,1.510562,1.6136
1,'15-16,CID1363,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,16-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.75254,0.8068
1,'15-16,CID0868,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,16-07-2015,Chennai,PIPES,TAPI,AP ISI,100,0.787166,0.8068
1,'15-16,CID0206,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,17-07-2015,Chennai,PIPES,TAPI,AP ISI,25,0.207166,0.2017
1,'15-16,CID1063,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,17-07-2015,Chennai,PIPES,TAPI,AP ISI,200,1.494989,1.6136
1,'15-16,CID1237,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,17-07-2015,Hubli,PIPES,TAPI,AP ISI,100,0.767658,0.8068
1,'15-16,CID1237,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,18-07-2015,Hubli,PIPES,TAPI,AP ISI,150,1.151487,1.2102
1,'15-16,CID1363,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,18-07-2015,Chennai,PIPES,TAPI,AP ISI,300,2.257622,2.4204
1,'15-16,CID0868,IC201994,Agri Pipe 4 Kgs/Cm² 6 Mtr  110mm,4,15-Jul,Jul,18-07-2015,Chennai,PIPES,TAPI,AP ISI,137,1.123352,1.105316
